JAVASCRIPT: 0A 34
abstract 1A
arguments 1B
await 1C
boolean 1D
break 1E
byte 1F
case 2A
catch 2B
char 2C
class 2D
const 2E
continue 2F
debugger 3A
default 3B
delete 3C
do 3D
double 3E
else 3F
enum 4A
eval 4B
export 4C
extends 4D
false 4E
final 4F
finally 5A
float 5B
for 5C
function 5D
goto 5E
if 5F
implements 6A
import 6B
in 6C
instanceof 6D
int 6E
interface 6F
let 7A
long 7B
native 7C
new 7D
null 7E
package 7F
private 8A
protected 8B
public 8C
return 8D
short 8E
static 8F
super 9A
switch 9B
synchronized 9C
this 9D
throw 9E
throws 9F
transient 0A
true 0B
try 0C
typeof 0D
var 0E
void 0F
volatile A1
while A2
with A3
yield A4
\n 00
